taxi_zone_id,taxi_zone_name,borough,observations,actual_mean,predicted_mean,mae,rmse,r2,mape_positive_pct,smape_pct,mean_error_bias
12,Battery Park,Manhattan,1464,1.5211748633879782,1.5517891242637853,1.0075730711996664,1.6310153623185062,0.5356635827123944,61.853274791286964,132.4248958063961,0.030614260875807046
13,Battery Park City,Manhattan,1464,33.47745901639344,35.01894559942309,6.677061003829033,9.55692943754258,0.8858696964157474,39.451868766232465,37.52933354648431,1.5414865830296474
14,Bay Ridge,Brooklyn,1464,2.7602459016393444,2.8987527964623117,1.589981293282427,2.111928632780049,0.20531614616953897,66.89318740500595,72.29354952255984,0.1385068948229673
15,Bay Terrace/Fort Totten,Queens,1464,0.24453551912568305,0.34052847164276356,0.4112345852559171,0.5526006713724516,-0.07866146569233567,62.93665634396921,179.91443772877304,0.09599295251708054
16,Bayside,Queens,1464,0.4651639344262295,0.5631184622043033,0.6139539772178789,0.8221396037432696,-0.013638317762111996,55.657018507512134,159.74688197528744,0.09795452777807385
17,Bedford,Brooklyn,1464,5.897540983606557,5.966511452007958,2.4272557010297238,3.2656775762031387,0.36487483570309276,61.665059879975615,50.29888305916059,0.06897046840140095
18,Bedford Park,Bronx,1464,1.4275956284153006,1.3953336503635552,1.024167908330547,1.411999671394814,0.24271052545359784,51.116129232487005,106.41834896263833,-0.032261978051745584
19,Bellerose,Queens,1464,0.5642076502732241,0.6344325798987668,0.643358915731241,0.8546558911355028,-0.06726270029523462,51.633291280701556,149.51604463412082,0.07022492962554278
20,Belmont,Bronx,1464,0.769808743169399,0.8517976062344342,0.7625357759902938,1.0049136332618032,0.0445921820953995,46.6860481923019,132.90757159529144,0.08198886306503529
21,Bensonhurst East,Brooklyn,1464,0.8032786885245902,0.9912367361025253,0.7882139011202953,1.0415098834369647,0.06327962460392422,47.884442052730726,129.06988852363995,0.18795804757793524
22,Bensonhurst West,Brooklyn,1464,1.0922131147540983,1.2746040889835046,0.9588543760393007,1.2723380926932213,0.07874023498682325,53.885662716654146,118.49956246127363,0.1823909742294063
23,Bloomfield/Emerson Hill,Staten Island,1464,0.045081967213114756,0.05210133278385953,0.0884142025428868,0.22309918893627756,0.0021438660496492234,91.1589046188314,198.9064989823217,0.007019365570744777
24,Bloomingdale,Manhattan,1464,17.385928961748633,18.009396623154206,4.503713505593785,5.977130303833008,0.6943221640188955,42.136616083818616,34.65090669885228,0.6234676614055717
25,Boerum Hill,Brooklyn,1464,6.901639344262295,6.970965472207339,2.776297325276541,3.8256063824239517,0.4992963904125416,59.97832535374229,52.41686612751213,0.06932612794504321
26,Borough Park,Brooklyn,1464,1.5416666666666667,1.6457193955964782,1.1222413104557563,1.5246329533440475,0.24534699980448293,61.01006862654508,108.55066310057865,0.10405272892981131
27,Breezy Point/Fort Tilden/Riis Beach,Queens,1464,0.022540983606557378,0.09600607927249195,0.1142153023116787,0.19284769423897744,-0.5017177791476866,89.99813017462237,199.273286302637,0.07346509566593458
28,Briarwood/Jamaica Hills,Queens,1464,1.6284153005464481,1.637553769668457,1.1659799967876103,1.5278559446241866,0.024095386051141143,56.998651169552886,91.76827180390309,0.009138469122008632
29,Brighton Beach,Brooklyn,1464,0.8224043715846995,0.9925118103388189,0.7988969911865497,1.073691669015479,0.09448618853072699,51.06927803764977,132.61196548464738,0.17010743875411927
30,Broad Channel,Queens,1464,0.025273224043715847,0.1076865963906266,0.12752849575278183,0.20897762690506977,-0.5957935324170489,89.08764476768837,199.13288514706562,0.08241337234691075
